"In3 Onsite Messaging","In3 Onsite Messaging"
"Pay your first instalment directly via IDEAL. Your second and third instalment will be paid within 30 and 60 days. No interest, no BKR-registration! Check payin3.eu for more information.","Pay your first instalment directly via IDEAL. Your second and third instalment will be paid within 30 and 60 days. No interest, no BKR-registration! Check payin3.eu for more information.",
"Or pay <strong>&euro;%1 in 3 instalments</strong>, 0% interest","Or pay <strong>&euro;%1 in 3 instalments</strong>, 0% interest"
"Settings","Settings"
"Frontend settings","Frontend settings"
"Locations","Locations"
"Theme","Theme"
"Price settings","Price settings"
"Price range for which the label is shown on product pages and total price of quote","Price range for which the label is shown on product pages and total price of quote"
"Min","Min"
"Max","Max"
"Product Page","Product Page"
"Shopping Cart","Shopping Cart"
"Checkout","Checkout"
"Light Theme","Light Theme"
"Dark Theme","Dark Theme"
