"In3 Onsite Messaging","In3 Onsite Messaging"
"Pay your first instalment directly via IDEAL. Your second and third instalment will be paid within 30 and 60 days. No interest, no BKR-registration! Check payin3.eu for more information.","Betaal de eerste termijn direct via IDEAL. De tweede en derde termijn betaal je na 30 en 60 dagen. Zonder rente, zonder BKR-registratie! Check payin3.eu voor meer informatie.",
"Or pay <strong>%1 in 3 instalments</strong>, 0% interest","Of <strong>%1 in 3 termijnen</strong>, 0% rente"
"Or pay <strong>in 3 instalments</strong>, 0% interest","Of <strong>in 3 termijnen</strong>, 0% rente"
"Or 3x %1, no interest","Of 3x %1, zonder rente"
"Settings","Instellingen"
"Frontend settings","Website instellingen"
"Locations","Locaties"
"Theme","Thema"
"Price settings","Prijs instellingen"
"Price range for which the label is shown on product pages and total price of quote","Prijsbereik waarin het label getoond wordt op productpagina's of de totale prijs van de bestelling"
"Min","Minimum"
"Max","Maximum"
"Product Page","Product Pagina"
"Shopping Cart","Winkelwagen"
"Checkout","Checkout"
"Light Theme","Licht Thema"
"Dark Theme","Donker Thema"
